Experiment,Sample,Condition,Vsx2+/Hth+/GFP+,Hth+/GFP+,Image,Counter XML
20250218_FRT40_SuH_1hr_3d_488GFPSh_555Vsx2Rb_647HthGp,SuH_1,Su(H) MARCM,22,22,20250218_FRT40_SuH_1hr_3d_488GFPSh_555Vsx2Rb_647HthGp_SuH_1.tif,CellCounter_20250218_FRT40_SuH_1hr_3d_488GFPSh_555Vsx2Rb_647HthGp_SuH_1.xml
20250224_FRT40A_SuH_3d_405NCadRt_488GFPSh_555HthGp_647Vsx2Rb,SuH,Su(H) MARCM,24,24,20250224_FRT40A_SuH_3d_405NCadRt_488GFPSh_555HthGp_647Vsx2Rb.tif,CellCounter_20250224_FRT40A_SuH_3d_405NCadRt_488GFPSh_555HthGp_647Vsx2Rb.xml
20250820_hs30m_40ASuH_3d_405NCadRt_488GFPSh_555Vsx2Rb_647HthGp,40A_1,WT MARCM,12,26,20250820_hs30m_40ASuH_3d_Vsx2_GFP_Hth_40A_1.tif,CellCounter_20250820_hs30m_40ASuH_3d_Vsx2_GFP_Hth_40A_1.xml
20250822_40ASuH_3d_HS30m_405NCadRt_488GFPSh_555Vsx2Rb_647HthGp,40A_1,WT MARCM,4,8,20250822_40ASuH_3d_HS30m_Vsx2_GFP_Hth_40A_1.tif,CellCounter_20250822_40ASuH_3d_HS30m_Vsx2_GFP_Hth_40A_1.xml
20250822_40ASuH_3d_HS30m_405NCadRt_488GFPSh_555Vsx2Rb_647HthGp,40A_2,WT MARCM,11,19,20250822_40ASuH_3d_HS30m_Vsx2_GFP_Hth_40A_2.tif,CellCounter_20250822_40ASuH_3d_HS30m_Vsx2_GFP_Hth_40A_2.xml
20250822_40ASuH_3d_HS30m_405NCadRt_488GFPSh_555Vsx2Rb_647HthGp,40A_3,WT MARCM,8,19,20250822_40ASuH_3d_HS30m_Vsx2_GFP_Hth_40A_3.tif,CellCounter_20250822_40ASuH_3d_HS30m_Vsx2_GFP_Hth_40A_3.xml
20250822_40ASuH_3d_HS30m_405NCadRt_488GFPSh_555Vsx2Rb_647HthGp,SuH_1,Su(H) MARCM,16,16,20250822_40ASuH_3d_HS30m_Vsx2_GFP_Hth_SuH_1.tif,CellCounter_20250822_40ASuH_3d_HS30m_Vsx2_GFP_Hth_SuH_1.xml
20250822_40ASuH_3d_HS30m_405NCadRt_488GFPSh_555Vsx2Rb_647HthGp,SuH_2,Su(H) MARCM,14,14,20250822_40ASuH_3d_HS30m_Vsx2_GFP_Hth_SuH_2.tif,CellCounter_20250822_40ASuH_3d_HS30m_Vsx2_GFP_Hth_SuH_1.xml
20250822_40ASuH_3d_HS30m_405NCadRt_488GFPSh_555Vsx2Rb_647HthGp,40A_1,WT MARCM,7,17,20250824_40ASuH_3d_HS30m_GFP_Vsx2_Hth_40A_1.tif,CellCounter_20250824_40ASuH_3d_HS30m_GFP_Vsx2_Hth_40A_1.xml
20250822_40ASuH_3d_HS30m_405NCadRt_488GFPSh_555Vsx2Rb_647HthGp,40A_2,WT MARCM,8,20,20250824_40ASuH_3d_HS30m_GFP_Vsx2_Hth_40A_2.tif,CellCounter_20250824_40ASuH_3d_HS30m_GFP_Vsx2_Hth_40A_2.xml
20250824_40ASuH_3d_HS30m_405NCadRt_488GFPSh_555Vsx2Rb_647HthGp,SuH_1,Su(H) MARCM,22,22,20250824_40ASuH_3d_HS30m_GFP_Vsx2_Hth_SuH_1.tif,CellCounter_20250824_40ASuH_3d_HS30m_GFP_Vsx2_Hth_SuH_1.xml
20250824_40ASuH_3d_HS30m_405NCadRt_488GFPSh_555Vsx2Rb_647HthGp,SuH_2,Su(H) MARCM,4,4,20250824_40ASuH_3d_HS30m_GFP_Vsx2_Hth_SuH_2.tif,CellCounter_20250824_40ASuH_3d_HS30m_GFP_Vsx2_Hth_SuH_2.xml
20250824_40ASuH_3d_HS30m_405NCadRt_488GFPSh_555Vsx2Rb_647HthGp,SuH_3,Su(H) MARCM,39,40,20250824_40ASuH_3d_HS30m_GFP_Vsx2_Hth_SuH_3.tif,CellCounter_20250824_40ASuH_3d_HS30m_GFP_Vsx2_Hth_SuH_3.xml
